,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Country,Continent
57,,2016.0,4.0,15.0,16.0,25.0,22.0,,,"JAPAN:  KUMAMOTO, OITA",32.791,130.754,10.0,7.0,8.0,50.0,1.0,,,1500.0,4.0,20000.0,4.0,80000.0,4.0,,4.0,50.0,1.0,,,1500.0,4.0,20000.0,4.0,80000.0,4.0,,4.0,JAPAN,Asia
58,,2016.0,4.0,16.0,23.0,58.0,0.0,5599.0,,"ECUADOR:  NEAR WEST COAST: MANABI, ESMERALDAS",0.35,-80.16,17.0,7.8,8.0,663.0,3.0,9.0,1.0,6274.0,4.0,3300.0,4.0,6998.0,4.0,29672.0,4.0,663.0,3.0,9.0,1.0,6274.0,4.0,3300.0,4.0,6998.0,4.0,29672.0,4.0,ECUADOR,South America
59,,2016.0,4.0,28.0,19.0,33.0,7.0,5600.0,,VANUATU ISLANDS,-16.043,167.379,24.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,VANUATU ISLANDS,Oceania
60,,2016.0,5.0,11.0,1.0,15.0,22.0,,,CHINA:  TIBET (XIZANG PROVINCE),32.022,95.027,8.0,5.2,,,,,,60.0,2.0,,1.0,,1.0,,,,,,,60.0,2.0,,1.0,,1.0,,,CHINA,Asia
61,,2016.0,5.0,17.0,17.0,5.0,5.0,,,CHINA: YUNNAN PROVINCE: SHIMEN,26.085,99.575,51.0,4.8,,2.0,1.0,,,,,60.0,4.0,,,,,2.0,1.0,,,,,60.0,4.0,,,,,CHINA,Asia
62,,2016.0,5.0,18.0,16.0,47.0,26.0,,,ECUADOR:  MANABI PROVINCE,0.495,-79.616,30.0,6.9,4.0,1.0,1.0,,,162.0,3.0,,1.0,,1.0,32.0,1.0,1.0,1.0,,,162.0,3.0,,1.0,,1.0,32.0,1.0,ECUADOR,South America
63,,2016.0,5.0,28.0,23.0,54.0,38.0,,,ALGERIA:  MEDEA:  MIHOUB,36.431,3.517,11.0,5.4,5.0,,,,,28.0,1.0,,2.0,,3.0,,1.0,,,,,28.0,1.0,,2.0,,3.0,,1.0,ALGERIA,Africa
64,,2016.0,6.0,1.0,22.0,56.0,8.0,,,INDONESIA:  SUMATRA:  PESISIR SELATAN,-2.097,100.665,50.0,6.6,5.0,1.0,1.0,,,30.0,1.0,,2.0,,,2663.0,4.0,1.0,1.0,,,30.0,1.0,,2.0,,,2663.0,4.0,INDONESIA,Asia
65,,2016.0,6.0,7.0,19.0,15.0,33.0,,,INDONESIA:  MALUKU:  TERNATE ISLAND,1.279,126.371,31.0,6.3,4.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,INDONESIA,Asia
66,,2016.0,7.0,1.0,14.0,59.0,15.0,,,TAJIKISTAN:  RASHT,38.881,70.559,10.0,5.0,,,,,,,,,1.0,31.0,1.0,,,,,,,,,,1.0,31.0,1.0,,,TAJIKISTAN,Asia
67,,2016.0,7.0,29.0,21.0,19.0,14.0,,,NORTHERN MARIANA ISLANDS,18.543,145.507,196.0,7.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN MARIANA ISLANDS,Oceania
